日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20251231,000510,中证A500,CSI A500,000001,平安银行,"Ping An Bank Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000002,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000009,中国宝安,"China Baoan Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000032,深桑达A,Shenzhen SED Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000034,神州数码,"Digital China Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000035,中国天楹,China Tianying Inc.,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000039,中集集团,China International Marine Containers (Group) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000063,中兴通讯,ZTE Corporation,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000066,中国长城,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000069,华侨城A,Shenzhen Overseas Chinese Town Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000100,TCL科技,TCL Technology Group Corporation,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000333,美的集团,"Midea Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000338,潍柴动力,Wei Chai Power Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000400,许继电气,XJ Electric Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000408,藏格矿业,ZANGGE MINING COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000415,渤海租赁,"Bohai Leasing Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000423,东阿阿胶,Shandong Dong-Ee Jiao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000425,徐工机械,XCMG Construction Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000426,兴业银锡,"INNER MONGOLIA XINGYE SILVER & TIN MINING CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000519,中兵红箭,"NORTH INDUSTRIES GROUP RED ARROW CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000547,航天发展,"Addsino Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000617,中油资本,CNPC Capital Company Limited,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000623,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000625,长安汽车,Chongqing Changan Automobile Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000629,钒钛股份,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000661,长春高新,Chang Chun High and New Technology Industry (Group) Inc.,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000683,博源化工,Inner Mongolia Berun Chemical Company Limited,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000708,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000725,京东方A,BOE Technology Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000733,振华科技,China Zhenhua (Group) Science & Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000738,航发控制,"AECC AERO-ENGINE CONTROL CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000768,中航西飞,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000786,北新建材,Beijing New Building Materials Public Ltd Co,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000792,盐湖股份,Qinghai Salt Lake Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000807,云铝股份,Yunnan Aluminium Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000818,航锦科技,"HANGJIN TECHNOLOGY CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000830,鲁西化工,"Luxi Chemical Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000831,中国稀土,"CHINA RARE EARTH RESOURCES AND TECHNOLOGY CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
